가가, 74, 183
차가, 75, 199
바바, 61, 187
파카, 44, 145
카카, 42, 183
나마, 66, 185
아차, 92, 147
파나, 41, 172
나가, 88, 172
다하, 81, 194
나다, 52, 170
나아, 63, 166
다가, 74, 165
차차, 56, 192
바나, 41, 162
사라, 51, 183
자다, 58, 173
타바, 60, 188
바타, 95, 142
카나, 68, 191
바파, 96, 184
나바, 61, 156
타하, 81, 186
파가, 43, 196
바카, 56, 178
파타, 71, 162
가타, 52, 142
카가, 59, 164
아나, 96, 150
다사, 57, 162
차아, 49, 172
하차, 94, 183
자가, 72, 164
하하, 47, 160
바가, 72, 163
차파, 92, 150
차다, 83, 174
아하, 46, 140
하라, 78, 160
사카, 52, 141
타라, 80, 140
다카, 77, 192
다하, 78, 181
다하, 98, 165
나차, 97, 170
다가, 84, 141
카카, 46, 176
바차, 99, 186
하차, 48, 183
차자, 94, 145
나다, 84, 154
바타, 88, 144
아가, 54, 194
타바, 95, 183
라마, 67, 191
차사, 55, 196
나아, 54, 171
파다, 96, 140
하타, 43, 167
자바, 46, 147
자아, 93, 151
다가, 49, 186
사자, 98, 159
나타, 84, 140
자자, 93, 156
타사, 51, 183
카나, 95, 193
차마, 95, 184
바타, 88, 187
라가, 54, 199
차하, 72, 186
아바, 59, 154
차라, 51, 193
아아, 99, 158
자마, 88, 189
다라, 87, 167
하나, 68, 165
하파, 54, 153
다가, 50, 185
자차, 42, 198
나마, 73, 176
라라, 56, 152
사차, 54, 158
다가, 94, 178
자나, 60, 178
다마, 92, 188
가파, 78, 171
나아, 55, 140
다하, 54, 173
자하, 89, 140
타바, 72, 182
나사, 52, 159
다나, 92, 147
나바, 83, 161
타나, 66, 161
카자, 71, 157
나아, 99, 152
하아, 71, 144
차파, 70, 151
바아, 86, 147
나다, 76, 166
나바, 79, 187
바다, 63, 198
하하, 92, 187
카사, 95, 164
아라, 89, 154
파바, 97, 199
하사, 80, 197
자가, 46, 193
라사, 68, 142
가차, 89, 159
나바, 52, 179
바마, 61, 147
아아, 66, 185
라사, 46, 191
파가, 99, 141
사바, 47, 162
다자, 85, 143
라바, 90, 172
가라, 99, 197
사파, 82, 156
다바, 90, 165
가라, 51, 167
사차, 89, 188
하사, 80, 175
아마, 85, 142
바바, 78, 178
사사, 41, 144
하타, 67, 150
아라, 51, 156
타나, 59, 184
라카, 52, 168
가나, 50, 178
다라, 85, 196
라라, 44, 196
가타, 84, 190
차아, 82, 151
자자, 54, 141
차바, 46, 190
하차, 91, 190
카파, 58, 199
마사, 89, 177
카바, 43, 175
다하, 99, 187
카마, 66, 151
바타, 40, 174
카마, 66, 190
차바, 79, 162
아다, 46, 142
자타, 54, 142
나라, 51, 189
타차, 58, 182
라타, 93, 153
카아, 80, 162
나하, 50, 176
나바, 61, 160
바나, 69, 140
하라, 63, 154
아바, 85, 176
다하, 87, 141
자차, 98, 171
라사, 98, 167
타자, 66, 185
아다, 66, 163
파사, 43, 161
타차, 81, 146
파나, 63, 199
나카, 44, 177
가바, 98, 191
바마, 56, 179
마차, 97, 152
파라, 97, 169
차파, 92, 196
라라, 54, 150
타마, 58, 169
차자, 47, 174
나사, 86, 188
마나, 58, 150
바사, 81, 183
가자, 41, 176
가아, 79, 155
라나, 74, 150
하아, 68, 169
나자, 79, 185
자가, 62, 170
아나, 41, 176
바카, 99, 152
아나, 95, 165
라차, 58, 176
파차, 91, 181
마아, 80, 176
바가, 52, 157
타가, 93, 196
아다, 67, 179
라나, 47, 146
라마, 75, 176
바라, 64, 146
아다, 71, 178
바다, 46, 164
마파, 70, 185
하차, 85, 199
다타, 90, 150
파다, 55, 175
사가, 75, 149
타라, 82, 153
사아, 70, 198
사가, 60, 181
바다, 94, 197
하자, 70, 142
가나, 94, 171
타다, 94, 156
아카, 80, 186
파라, 60, 150
가다, 86, 155
파자, 83, 162
하타, 45, 156
타사, 59, 141
타차, 60, 154
아타, 90, 192
사파, 51, 189
차파, 43, 164
차자, 63, 171
나카, 84, 150
바바, 86, 166
라마, 47, 179
나타, 62, 159
파마, 67, 190
나라, 56, 170
카다, 50, 196
다다, 99, 151
아나, 86, 194
가자, 57, 174
자바, 77, 171
자가, 62, 198
차아, 57, 170
차마, 68, 183
사자, 99, 161
가타, 61, 167
다파, 60, 155
마라, 95, 156
마타, 53, 151
차차, 43, 149
라파, 58, 188
가사, 59, 154
차바, 62, 168
아파, 67, 140
다차, 72, 184
라타, 69, 189
라나, 66, 198
카바, 63, 197
가사, 82, 190
자아, 82, 174
가타, 95, 195
카파, 48, 185
차라, 47, 173
파타, 74, 169
마하, 96, 175
나카, 47, 156
가아, 66, 145
라자, 72, 162
차파, 76, 169
나가, 55, 156
아카, 59, 192
마차, 57, 172
아타, 61, 189
마차, 42, 179
사바, 46, 142
아사, 84, 185
자바, 46, 196
아하, 40, 197
라가, 76, 193
바차, 63, 161
가사, 95, 179
타타, 62, 190
카하, 48, 157
가나, 50, 148
사카, 95, 160
하파, 65, 140
다아, 62, 162
타차, 60, 145
사가, 51, 184
사사, 85, 194
마나, 43, 147
나자, 61, 179
차하, 48, 151
나라, 93, 186
자바, 88, 183
자라, 66, 196
타가, 81, 165
하마, 92, 177
하라, 71, 184
다사, 67, 152
바자, 77, 191
카마, 45, 140
다하, 75, 174
타차, 73, 182
아마, 59, 149
타가, 95, 172
마차, 69, 197
가카, 41, 166
다타, 71, 142
나카, 83, 160
차아, 60, 186
가나, 93, 144
자아, 58, 183
차나, 55, 189
라카, 85, 154
자차, 71, 155
마다, 89, 174
자타, 42, 184
다카, 94, 194
사마, 85, 184
아라, 44, 140
타바, 78, 196
